ID:ID,NODE_TYPE,DATA,EXTRA,:LABEL
L3SET_4_1,RESOURCE,L3SET,,RESOURCE
L3SET_4_2,RESOURCE,L3SET,,RESOURCE
L3SET_4_3,RESOURCE,L3SET,,RESOURCE
L3SET_4_4,RESOURCE,L3SET,,RESOURCE
VMR_5_1,RESOURCE,VMR,"{""vmr_type"": ""stack""}",RESOURCE
MO_1_1,RESOURCE,MO,,RESOURCE
VMR_5_2,RESOURCE,VMR,"{""vmr_type"": ""code""}",RESOURCE
MO_1_2,RESOURCE,MO,,RESOURCE
VMR_5_3,RESOURCE,VMR,"{""vmr_type"": ""heap""}",RESOURCE
MO_1_3,RESOURCE,MO,,RESOURCE
VCPU_6_1,RESOURCE,VCPU,,RESOURCE
PCPU_3_1,RESOURCE,PCPU,,RESOURCE
VMR_7_1,RESOURCE,VMR,"{""vmr_type"": ""stack""}",RESOURCE
MO_1_4,RESOURCE,MO,,RESOURCE
VMR_7_2,RESOURCE,VMR,"{""vmr_type"": ""code""}",RESOURCE
MO_1_5,RESOURCE,MO,,RESOURCE
VMR_7_3,RESOURCE,VMR,"{""vmr_type"": ""heap""}",RESOURCE
MO_1_6,RESOURCE,MO,,RESOURCE
VCPU_8_1,RESOURCE,VCPU,,RESOURCE
PCPU_3_2,RESOURCE,PCPU,,RESOURCE
